root           1  0.2  0.0  22908 13936 ?        Ss   17:41   0:01 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    17:41   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    17:41   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/0:0H-events_highpri]
root          11  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/0:1-mm_percpu_wq]
root          13  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        I    17:41   0:00 [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I    17:41   0:00 [rcu_tasks_rude_kthread]
root          16  0.0  0.0      0     0 ?        I    17:41   0:00 [rcu_tasks_trace_kthread]
root          17  0.0  0.0      0     0 ?        S    17:41   0:00 [ksoftirqd/0]
root          18  0.2  0.0      0     0 ?        I    17:41   0:01 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    17:41   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          20  0.0  0.0      0     0 ?        S    17:41   0:00 [rcu_exp_gp_kthread_worker]
root          21  0.0  0.0      0     0 ?        S    17:41   0:00 [migration/0]
root          22  0.0  0.0      0     0 ?        S    17:41   0:00 [idle_inject/0]
root          23  0.0  0.0      0     0 ?        S    17:41   0:00 [cpuhp/0]
root          24  0.0  0.0      0     0 ?        S    17:41   0:00 [cpuhp/2]
root          25  0.0  0.0      0     0 ?        S    17:41   0:00 [idle_inject/2]
root          26  0.0  0.0      0     0 ?        S    17:41   0:00 [migration/2]
root          27  0.0  0.0      0     0 ?        S    17:41   0:00 [ksoftirqd/2]
root          29  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/2:0H-events_highpri]
root          30  0.0  0.0      0     0 ?        S    17:41   0:00 [cpuhp/4]
root          31  0.0  0.0      0     0 ?        S    17:41   0:00 [idle_inject/4]
root          32  0.0  0.0      0     0 ?        S    17:41   0:00 [migration/4]
root          33  0.0  0.0      0     0 ?        S    17:41   0:00 [ksoftirqd/4]
root          35  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/4:0H-events_highpri]
root          36  0.0  0.0      0     0 ?        S    17:41   0:00 [cpuhp/6]
root          37  0.0  0.0      0     0 ?        S    17:41   0:00 [idle_inject/6]
root          38  0.0  0.0      0     0 ?        S    17:41   0:00 [migration/6]
root          39  0.0  0.0      0     0 ?        S    17:41   0:00 [ksoftirqd/6]
root          41  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/6:0H-events_highpri]
root          42  0.0  0.0      0     0 ?        S    17:41   0:00 [cpuhp/8]
root          43  0.0  0.0      0     0 ?        S    17:41   0:00 [idle_inject/8]
root          44  0.1  0.0      0     0 ?        S    17:41   0:01 [migration/8]
root          45  0.0  0.0      0     0 ?        S    17:41   0:00 [ksoftirqd/8]
root          46  0.3  0.0      0     0 ?        I    17:41   0:02 [kworker/8:0-i915-unordered]
root          47  0.0  0.0      0     0 ?        I<   17:41   0:00 [kworker/8:0H-events_highpri]
root          48  0.0  0.0      0     0 ?        S    17:41   0:00 [cpuhp/9]
root          49  0.0  0.0      0     0 ?        S    17:41   0:00 [idle_inject/9]
root          50  0.0  0.0      0     0 ?        S    17:41   0:00 [migration/9]
root          51  0.0  0.0      0     0 ?        S    17:41   0:00 [ksoftirqd/9]
root          52  0.0  0.0      0     0 ?        I    17:41   0:00 [kworker/9:0-mm_percpu_wq]
